المنتج,سعر المنتج,صورة المنتج,رابط المنتج,المنافس,__المنافس__,__صف_الملف__,__سبب_التلف__
عينة جورجيو ارماني سي بارفيوم 1.2مل,21.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/08403eb2-6e02-467f-90fb-cdaa37a4d9cb-500x500-g4ptWVPxwJYnKXInkgmFLNIfN7A6un1YOxzhK6At.jpg",https://mahally.com/products/1313514692/570802579/?queryID=16b46af47fd3833dbb719b19b5d983e8&position=335&index=products_v2_store_view,م فنيلا,م فنيلا.csv,356,عينة_أو_مرفوض
عينة كلوي اتيليه دي فلور ماجنوليا البا او دو برفيوم 1.2مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/3a8b87b3-941b-436d-915f-e31f06cc8b0e-500x500-VhijaHYtNe5QeI6q3CjaQ8MVaAAQRVkyDmOLvxgY.jpg",https://mahally.com/products/1313514692/80441357/?queryID=16b46af47fd3833dbb719b19b5d983e8&position=336&index=products_v2_store_view,م فنيلا,م فنيلا.csv,357,عينة_أو_مرفوض
عينة جان بول غوتييه لو مال اليكسير ابسولو برفيوم انتنس 1.5مل,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/bcb73970-9f56-493b-96bb-63cb08385cc4-500x500-ZoWjIKs3AMP4WCjiCm82YedbWGHUmzW1LUv4as6P.jpg",https://mahally.com/products/1313514692/1122736689/?queryID=16b46af47fd3833dbb719b19b5d983e8&position=345&index=products_v2_store_view,م فنيلا,م فنيلا.csv,366,عينة_أو_مرفوض
عينة بلغاري امنية اميثيست او دو تواليت 1.5مل,19.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/320c934d-f905-4e87-83a7-b37ad2e124ab-500x500-RgXlMkNEakMzsmlog0kgK9ajEfLkfDwtPOxGkjKZ.jpg",https://mahally.com/products/1313514692/1944961470/?queryID=16b46af47fd3833dbb719b19b5d983e8&position=351&index=products_v2_store_view,م فنيلا,م فنيلا.csv,372,عينة_أو_مرفوض
عينة جان بول غوتييه سكاندال انتنس او دو برفيوم انتنس 1.5 مل,11.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/c4e293ba-fe5c-4ae8-98a0-cb97fdfe0015-500x500-l2889ggzZ4LZGX8y4J1fSNh3s5uUpl1dyd4eKPNq.jpg",https://mahally.com/products/1313514692/1146282404/?queryID=16b46af47fd3833dbb719b19b5d983e8&position=395&index=products_v2_store_view,م فنيلا,م فنيلا.csv,416,عينة_أو_مرفوض
عينة دولتشي اند غابانا كيه او دو تواليت 1.5مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/OoyqtZVgsXeXuNicVUD50IGErbOvaTXfZaRYzTPp.jpg",https://mahally.com/products/1313514692/176767278/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=411&index=products_v2_store_view,م فنيلا,م فنيلا.csv,432,عينة_أو_مرفوض
عينة دولتشي اند غابانا لايت بلو او دو تواليت 1.5مل,6.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/hIwYTcLLtSejnzX8l91JyOFVOP2Mk0UO789g9GdK.jpg",https://mahally.com/products/1313514692/1306060594/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=421&index=products_v2_store_view,م فنيلا,م فنيلا.csv,442,عينة_أو_مرفوض
عينة ديور جادور انفينيسيم او دو برفيوم 1مل,7.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/80e2975f-62ae-462f-8fb4-a84fe513ded7-500x500-weKMv2Nk041VLQji9ApIFYuZZ7pTfYoiaYDdHEeB.jpg",https://mahally.com/products/1313514692/467586291/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=428&index=products_v2_store_view,م فنيلا,م فنيلا.csv,449,عينة_أو_مرفوض
عينة فرزاتشي يلو دياموند او دو تواليت 1مل,6.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/e7b209d2-0530-45a4-875d-9b2bde8b7c15-500x500-5bPeSd3dI7UCjjkm2xm3lSHsZXpCAVvunhyrrMzI.jpg",https://mahally.com/products/1313514692/1960111149/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=439&index=products_v2_store_view,م فنيلا,م فنيلا.csv,460,عينة_أو_مرفوض
عينة اجنر ايكونستا او دو برفيوم 1.5 مل,5.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/6bbd36d6-176d-4742-8811-80905fb4828a-500x500-sHC7y4eQb9KVkHTeEfJqHOHtjxLzqRroQ3gN011H.jpg",https://mahally.com/products/1313514692/1732204451/?queryID=a30117341dc2d947913ba3be5f72e3f5&position=451&index=products_v2_store_view,م فنيلا,م فنيلا.csv,472,عينة_أو_مرفوض
